Patrón,Cantidad de Mayúsculas,Cantidad de Secuencias,Porcentaje de Secuencias
C-x(2)-C-x(16)-H,3,6,100.00%
C-x(4)-C-x(16)-H,3,5,83.33%
C-x(17)-C-x(2)-H,3,6,100.00%
C-x(17)-C-x(12)-H,3,6,100.00%
C-x(20)-C-x(2)-H,3,6,100.00%
C-x(4)-C-x(12)-H-x(3)-H,4,4,66.67%
C-x(2)-C-x(2)-H,3,6,100.00%
C-x(4)-C-x(20)-H,3,5,83.33%
C-x(17)-C-x(16)-H,3,6,100.00%
C-x(17)-C-x(20)-H,3,6,100.00%
C-x(20)-C-x(16)-H,3,6,100.00%
C-x(2)-C-x(12)-H-x(3)-H,4,4,66.67%
C-x(4)-C-x(2)-H,3,5,83.33%
C-x(20)-C-x(12)-H,3,6,100.00%
C-x(20)-C-x(20)-H,3,6,100.00%
C-x(1)-S-C-x(17)-C-x(2)-H,5,2,33.33%
C-x(2)-C-x(12)-H,3,6,100.00%
C-x(2)-C-x(20)-H,3,6,100.00%
C-x(4)-C-x(12)-H,3,5,83.33%
